model_name,dataset_path,dataset_config,horizon,num_windows,initial_cutoff,window_step_size,min_context_length,max_context_length,seasonality,eval_metric,extra_metrics,quantile_levels,id_column,timestamp_column,target,generate_univariate_targets_from,known_dynamic_columns,past_dynamic_columns,static_columns,task_name,test_error,training_time_s,inference_time_s,num_forecasts,dataset_fingerprint,trained_on_this_dataset,fev_version,MASE,WQL,framework_version,model_config
autogluon/chronos-2-synth,autogluon/chronos_datasets,monash_fred_md,12,1,-12,12,1,,12,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_fred_md,0.4527451614890119,,1.262404785000399,107,a508fc699f3f3683,False,0.7.0,0.4527451614890119,0.023240025610974747,2.2.2,"{'model_name': 'autogluon/chronos-2-synth', 'batch_size': 100, 'device_map': 'cuda', 'torch_dtype': 'torch.float32', 'as_univariate': True, 'seed': 123}"
autogluon/chronos-2-synth,autogluon/chronos_datasets,m4_quarterly,8,1,-8,8,1,,4,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],m4_quarterly,1.2341692495023262,,87.32005783999921,24000,97b166b18d38e710,False,0.7.0,1.2341692495023262,0.07761747300403918,2.2.2,"{'model_name': 'autogluon/chronos-2-synth', 'batch_size': 100, 'device_map': 'cuda', 'torch_dtype': 'torch.float32', 'as_univariate': True, 'seed': 123}"
autogluon/chronos-2-synth,autogluon/chronos_datasets,m4_yearly,6,1,-6,6,1,,1,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],m4_yearly,3.363887661433069,,49.65399646500009,23000,020f5777849c9c62,False,0.7.0,3.363887661433069,0.11847806896788071,2.2.2,"{'model_name': 'autogluon/chronos-2-synth', 'batch_size': 100, 'device_map': 'cuda', 'torch_dtype': 'torch.float32', 'as_univariate': True, 'seed': 123}"
autogluon/chronos-2-synth,autogluon/chronos_datasets,m5,28,1,-28,28,1,,1,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],m5,0.9772317510214105,,864.0035365139993,30490,78a5b1db66dfb76c,False,0.7.0,0.9772317510214105,0.5889662971766602,2.2.2,"{'model_name': 'autogluon/chronos-2-synth', 'batch_size': 100, 'device_map': 'cuda', 'torch_dtype': 'torch.float32', 'as_univariate': True, 'seed': 123}"
autogluon/chronos-2-synth,autogluon/chronos_datasets,monash_tourism_monthly,24,1,-24,24,1,,12,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_tourism_monthly,1.9387808789259735,,2.1980024019994744,366,3ce75ace84bef572,False,0.7.0,1.9387808789259735,0.10027714364858041,2.2.2,"{'model_name': 'autogluon/chronos-2-synth', 'batch_size': 100, 'device_map': 'cuda', 'torch_dtype': 'torch.float32', 'as_univariate': True, 'seed': 123}"
autogluon/chronos-2-synth,autogluon/chronos_datasets,monash_tourism_quarterly,8,1,-8,8,1,,4,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_tourism_quarterly,1.8191076292875976,,1.1475711990005948,427,f34c4184775eda7e,False,0.7.0,1.8191076292875976,0.06963727052944822,2.2.2,"{'model_name': 'autogluon/chronos-2-synth', 'batch_size': 100, 'device_map': 'cuda', 'torch_dtype': 'torch.float32', 'as_univariate': True, 'seed': 123}"
autogluon/chronos-2-synth,autogluon/chronos_datasets,monash_tourism_yearly,4,1,-4,4,1,,1,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_tourism_yearly,3.5054329845700876,,0.8284387569983664,518,7c477aee96f482c4,False,0.7.0,3.5054329845700876,0.14140505817628438,2.2.2,"{'model_name': 'autogluon/chronos-2-synth', 'batch_size': 100, 'device_map': 'cuda', 'torch_dtype': 'torch.float32', 'as_univariate': True, 'seed': 123}"
autogluon/chronos-2-synth,autogluon/chronos_datasets,monash_car_parts,12,1,-12,12,1,,12,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_car_parts,0.9983936915866638,,4.564127981999263,2674,1ba8c4719a51b23c,False,0.7.0,0.9983936915866638,1.1147597558164248,2.2.2,"{'model_name': 'autogluon/chronos-2-synth', 'batch_size': 100, 'device_map': 'cuda', 'torch_dtype': 'torch.float32', 'as_univariate': True, 'seed': 123}"
autogluon/chronos-2-synth,autogluon/chronos_datasets,monash_hospital,12,1,-12,12,1,,12,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_hospital,0.8040132541387638,,1.6349234429999342,767,e364316542f2f5c7,False,0.7.0,0.8040132541387638,0.05351527377313138,2.2.2,"{'model_name': 'autogluon/chronos-2-synth', 'batch_size': 100, 'device_map': 'cuda', 'torch_dtype': 'torch.float32', 'as_univariate': True, 'seed': 123}"
autogluon/chronos-2-synth,autogluon/chronos_datasets,monash_cif_2016,12,1,-12,12,1,,12,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_cif_2016,0.9454372841121715,,0.20589262099929329,72,89203c02fafca301,False,0.7.0,0.9454372841121715,0.009104968899122434,2.2.2,"{'model_name': 'autogluon/chronos-2-synth', 'batch_size': 100, 'device_map': 'cuda', 'torch_dtype': 'torch.float32', 'as_univariate': True, 'seed': 123}"
autogluon/chronos-2-synth,autogluon/chronos_datasets,monash_m1_yearly,6,1,-6,6,1,,1,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_m1_yearly,3.9877257433031135,,0.31758530600018275,181,bd7efdf4c711a830,False,0.7.0,3.9877257433031135,0.14361110970599986,2.2.2,"{'model_name': 'autogluon/chronos-2-synth', 'batch_size': 100, 'device_map': 'cuda', 'torch_dtype': 'torch.float32', 'as_univariate': True, 'seed': 123}"
autogluon/chronos-2-synth,autogluon/chronos_datasets,monash_m1_quarterly,8,1,-8,8,1,,4,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_m1_quarterly,1.7508869995327259,,0.44679173700023966,203,5dd7170c16393209,False,0.7.0,1.7508869995327259,0.09172723511083204,2.2.2,"{'model_name': 'autogluon/chronos-2-synth', 'batch_size': 100, 'device_map': 'cuda', 'torch_dtype': 'torch.float32', 'as_univariate': True, 'seed': 123}"
autogluon/chronos-2-synth,autogluon/chronos_datasets,monash_m1_monthly,18,1,-18,18,1,,12,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_m1_monthly,1.082321880946606,,1.9040951429997222,617,88d42195e0f8e7cc,False,0.7.0,1.082321880946606,0.15232918268820836,2.2.2,"{'model_name': 'autogluon/chronos-2-synth', 'batch_size': 100, 'device_map': 'cuda', 'torch_dtype': 'torch.float32', 'as_univariate': True, 'seed': 123}"
autogluon/chronos-2-synth,autogluon/chronos_datasets,monash_m3_monthly,18,1,-18,18,1,,12,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_m3_monthly,0.9119066723387578,,4.279022593998889,1428,372532bc65a1f203,False,0.7.0,0.9119066723387578,0.09708217907924949,2.2.2,"{'model_name': 'autogluon/chronos-2-synth', 'batch_size': 100, 'device_map': 'cuda', 'torch_dtype': 'torch.float32', 'as_univariate': True, 'seed': 123}"
autogluon/chronos-2-synth,autogluon/chronos_datasets,monash_m3_yearly,6,1,-6,6,1,,1,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_m3_yearly,3.0509359659219233,,1.0168155400006071,645,d607d91b11bbe4a1,False,0.7.0,3.0509359659219233,0.14422774410221284,2.2.2,"{'model_name': 'autogluon/chronos-2-synth', 'batch_size': 100, 'device_map': 'cuda', 'torch_dtype': 'torch.float32', 'as_univariate': True, 'seed': 123}"
autogluon/chronos-2-synth,autogluon/chronos_datasets,monash_m3_quarterly,8,1,-8,8,1,,4,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_m3_quarterly,1.2170795437316955,,1.3503434760004893,756,6401670c504aa82b,False,0.7.0,1.2170795437316955,0.0736362724887829,2.2.2,"{'model_name': 'autogluon/chronos-2-synth', 'batch_size': 100, 'device_map': 'cuda', 'torch_dtype': 'torch.float32', 'as_univariate': True, 'seed': 123}"
